Timestamp,Age group,Musical profficiency,Bach Ground Truth,Bach MaskGAN,Bach Neural Editor,Beethoven Ground Truth,Beethoven MaskGAN,Beethoven Neural Editor,Brahms Ground Truth,Brahms MaskGAN,Brahms Neural Editor,Handel Ground Truth,Handel MaskGAN,Handel Neural Editor,Haydn Ground Truth,Haydn MaskGAN,Hayden NE,Mozart GT,Mozart MaskGAN,Mozart NE,Schubert GT,Schubert MaskGAN,Schubert NE,Vivavldi GT,Vivaldi MaskGAN,Vivaldi NE
5/18/2018 9:28:36,25-34,Music Lover or musician,5,3,3,2,2,2,2,1,3,4,3,4,5,3,5,3,2,4,2,1,1,4,3,4
5/18/2018 9:36:23,55-64,Music Lover or musician,5,3,4,3,3,4,2,3,4,5,4,5,5,2,5,4,3,4,1,3,3,5,4,5
5/18/2018 10:00:44,25-34,Music Lover or musician,5,3,4,3,2,3,3,3,4,4,3,4,5,2,4,4,2,3,3,1,2,4,3,4
5/18/2018 11:19:35,25-34,Seldom listen to music,4,3,3,4,2,3,3,2,2,4,3,4,4,2,3,4,4,5,3,2,4,3,3,3
5/18/2018 11:23:21,35-44,Music Lover or musician,4,4,4,3,3,3,4,4,4,3,3,3,4,3,3,3,2,3,3,3,2,3,3,3
5/18/2018 11:28:58,25-34,Music Lover or musician,5,3,3,2,2,2,2,2,3,4,2,3,3,2,4,2,2,3,2,2,3,4,3,3
5/18/2018 11:35:36,35-44,Music Lover or musician,5,5,5,3,3,2,4,3,4,4,3,3,4,3,4,4,4,3,4,3,3,4,4,4
5/18/2018 11:54:26,25-34,Music Lover or musician,2,1,4,4,3,4,3,3,4,5,3,4,4,2,5,5,2,3,3,2,1,5,4,3
5/18/2018 11:57:04,25-34,Music Lover or musician,5,4,5,5,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5
5/18/2018 11:58:20,25-34,Music Lover or musician,5,3,4,3,4,3,5,4,4,4,3,3,4,2,4,4,3,4,5,3,4,5,4,5
5/18/2018 12:12:55,18-24,Music Lover or musician,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,2,3,4,4
5/18/2018 12:18:45,25-34,Music Lover or musician,5,4,4,4,5,4,4,5,4,5,5,5,4,5,4,4,5,5,4,5,5,5,4,4
5/18/2018 12:20:34,18-24,Music Lover or musician,5,3,4,3,2,3,3,3,3,5,3,4,5,3,3,4,3,3,2,2,1,5,4,4
5/18/2018 12:27:00,18-24,Seldom listen to music,4,4,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5/18/2018 12:26:57,18-24,Music Lover or musician,4,3,2,2,3,5,2,3,3,4,3,2,5,5,3,5,2,4,1,2,3,5,3,5
5/18/2018 12:27:45,18-24,Seldom listen to music,4,4,5,3,1,1,5,4,5,5,2,4,5,5,4,3,1,2,1,1,1,5,5,4
5/18/2018 12:41:31,25-34,Music Lover or musician,5,5,5,4,4,4,4,3,4,4,4,4,5,4,5,5,3,2,2,2,2,3,2,4
